GAME_ID,TEAM_ID,Q1_PTS,HALF1_PTS
0021500316,1610612763,25,47
0021500316,1610612760,28,59
0021500317,1610612743,26,47
0021500317,1610612753,26,40
0021500318,1610612758,33,54
0021500318,1610612762,22,48
0021500319,1610612738,24,51
0021500319,1610612741,24,54
0021500320,1610612766,27,56
0021500320,1610612748,17,36
0021500321,1610612764,17,47
0021500321,1610612745,30,56
0021500322,1610612765,17,47
0021500322,1610612763,24,43
0021500323,1610612761,27,53
0021500323,1610612759,21,46
0021500324,1610612749,26,48
0021500324,1610612746,25,47
0021500325,1610612750,35,59
0021500325,1610612747,32,57
0021500326,1610612756,21,49
0021500326,1610612753,24,47
0021500327,1610612762,29,60
0021500327,1610612752,11,35
0021500328,1610612742,23,44
0021500328,1610612737,22,49
0021500329,1610612751,24,52
0021500329,1610612755,13,44
0021500330,1610612741,23,44
0021500330,1610612746,24,35
0021500331,1610612760,35,60
0021500331,1610612737,28,49
0021500332,1610612758,24,46
0021500332,1610612752,16,39
0021500333,1610612754,20,47
0021500333,1610612748,21,48
0021500334,1610612753,20,37
0021500334,1610612739,22,53
0021500335,1610612755,14,46
0021500335,1610612765,35,58
0021500336,1610612738,25,53
0021500336,1610612744,26,57
0021500337,1610612761,24,49
0021500337,1610612749,17,31
0021500338,1610612763,35,54
0021500338,1610612766,29,59
0021500339,1610612740,29,55
0021500339,1610612764,27,54
0021500340,1610612743,23,41
0021500340,1610612750,29,56
0021500341,1610612762,15,44
0021500341,1610612760,27,52
0021500342,1610612759,31,51
0021500342,1610612747,27,49
0021500343,1610612756,26,61
0021500343,1610612757,33,57
0021500344,1610612751,20,44
0021500344,1610612746,28,57
0021500345,1610612766,17,42
0021500345,1610612738,16,38
0021500346,1610612765,28,65
0021500346,1610612754,29,55
0021500347,1610612737,13,25
0021500347,1610612759,22,47
0021500348,1610612741,20,42
0021500348,1610612740,28,45
0021500349,1610612745,32,63
0021500349,1610612747,25,46
0021500350,1610612742,28,50
0021500350,1610612764,26,51
0021500351,1610612749,30,59
0021500351,1610612744,28,48
0021500352,1610612757,29,56
0021500352,1610612752,21,55
0021500353,1610612756,25,55
0021500353,1610612750,27,49
0021500354,1610612748,21,48
0021500354,1610612763,27,56
0021500355,1610612761,32,52
0021500355,1610612755,24,44
0021500356,1610612760,16,38
0021500356,1610612762,21,51
0021500357,1610612754,27,52
0021500357,1610612761,28,41
0021500358,1610612751,25,45
0021500358,1610612753,25,52
0021500359,1610612765,27,39
0021500359,1610612746,27,48
0021500360,1610612737,20,38
0021500360,1610612748,22,47
0021500361,1610612741,24,51
0021500361,1610612755,19,56
0021500362,1610612763,25,57
0021500362,1610612764,21,46
0021500363,1610612742,25,46
0021500363,1610612756,21,43
0021500364,1610612759,29,59
0021500364,1610612762,15,36
0021500365,1610612743,36,54
0021500365,1610612745,22,58
0021500366,1610612757,26,50
0021500366,1610612740,31,48
0021500367,1610612738,25,46
0021500367,1610612739,23,40
0021500368,1610612750,24,49
0021500368,1610612743,27,63
0021500369,1610612758,31,57
0021500369,1610612745,31,50
0021500370,1610612747,30,55
0021500370,1610612749,25,46
0021500371,1610612754,20,45
0021500371,1610612742,19,47
0021500372,1610612753,30,58
0021500372,1610612766,23,45
0021500373,1610612751,30,50
0021500373,1610612748,22,55
0021500374,1610612765,18,55
0021500374,1610612738,25,52
0021500375,1610612752,27,60
0021500375,1610612750,26,40
0021500376,1610612737,32,66
0021500376,1610612755,23,55
0021500377,1610612741,30,50
0021500377,1610612763,26,53
0021500378,1610612760,31,52
0021500378,1610612757,26,45
0021500379,1610612759,26,55
0021500379,1610612764,31,52
0021500380,1610612762,24,50
0021500380,1610612740,27,51
0021500381,1610612744,26,59
0021500381,1610612756,28,46
0021500382,1610612746,29,54
0021500382,1610612749,21,43
0021500383,1610612766,25,56
0021500383,1610612761,20,44
0021500384,1610612739,26,46
0021500384,1610612760,28,47
0021500385,1610612747,18,39
0021500385,1610612745,29,52
0021500386,1610612754,23,49
0021500386,1610612751,18,47
0021500387,1610612753,29,49
0021500387,1610612757,26,48
0021500388,1610612755,23,44
0021500388,1610612752,30,65
0021500389,1610612738,25,43
0021500389,1610612737,19,42
0021500390,1610612748,25,55
0021500390,1610612761,27,50
0021500391,1610612741,27,52
0021500391,1610612765,30,55
0021500392,1610612750,31,58
0021500392,1610612758,24,54
0021500393,1610612759,26,55
0021500393,1610612746,30,55
0021500394,1610612742,25,55
0021500394,1610612763,26,49
0021500395,1610612762,30,53
0021500395,1610612743,23,49
0021500396,1610612756,28,53
0021500396,1610612740,17,42
0021500397,1610612744,33,58
0021500397,1610612749,36,70
0021500398,1610612760,35,67
0021500398,1610612747,15,41
0021500399,1610612764,28,59
0021500399,1610612766,27,53
0021500400,1610612752,25,49
0021500400,1610612741,18,39
0021500401,1610612745,38,57
0021500401,1610612746,17,46
0021500402,1610612763,21,44
0021500402,1610612754,16,43
0021500403,1610612751,16,43
0021500403,1610612750,26,52
0021500404,1610612748,23,52
0021500404,1610612757,32,62
0021500405,1610612739,21,55
0021500405,1610612755,25,38
0021500406,1610612756,26,53
0021500406,1610612749,27,45
0021500407,1610612753,29,42
0021500407,1610612737,25,52
0021500408,1610612761,18,48
0021500408,1610612758,37,55
0021500409,1610612743,31,74
0021500409,1610612740,36,67
0021500410,1610612764,34,63
0021500410,1610612758,35,59
0021500411,1610612738,34,60
0021500411,1610612750,26,53
0021500412,1610612752,21,46
0021500412,1610612753,29,52
0021500413,1610612737,26,55
0021500413,1610612757,17,43
0021500414,1610612741,22,55
0021500414,1610612751,29,58
0021500415,1610612745,27,45
0021500415,1610612766,28,44
0021500416,1610612759,23,50
0021500416,1610612754,21,48
0021500417,1610612762,33,54
0021500417,1610612756,21,43
0021500418,1610612746,29,52
0021500418,1610612760,23,50
0021500419,1610612755,23,47
0021500419,1610612763,31,53
0021500420,1610612748,34,52
0021500420,1610612765,18,54
0021500421,1610612761,32,49
0021500421,1610612742,16,36
0021500422,1610612743,34,64
0021500422,1610612747,26,51
0021500423,1610612766,21,40
0021500423,1610612738,29,47
0021500424,1610612739,31,55
0021500424,1610612752,24,50
0021500425,1610612754,27,49
0021500425,1610612758,30,64
0021500426,1610612753,27,59
0021500426,1610612745,33,53
0021500427,1610612764,25,59
0021500427,1610612763,18,48
0021500428,1610612751,26,53
0021500428,1610612742,32,64
0021500429,1610612737,27,61
0021500429,1610612765,26,45
0021500430,1610612749,35,65
0021500430,1610612755,18,46
0021500431,1610612750,16,38
0021500431,1610612759,28,52
0021500432,1610612740,26,53
0021500432,1610612757,23,36
0021500433,1610612756,21,50
0021500433,1610612743,33,56
0021500434,1610612744,23,47
0021500434,1610612762,13,38
0021500435,1610612747,17,46
0021500435,1610612760,27,57
0021500436,1610612748,27,42
0021500436,1610612740,15,38
0021500437,1610612760,26,52
0021500437,1610612741,32,54
0021500438,1610612744,28,45
0021500438,1610612739,19,42
0021500439,1610612745,25,38
0021500439,1610612759,22,43
0021500440,1610612747,22,44
0021500440,1610612746,32,60
0021500441,1610612749,17,52
0021500441,1610612761,22,56
0021500442,1610612737,22,60
0021500442,1610612752,32,63
0021500443,1610612766,30,53
0021500443,1610612763,28,53
0021500444,1610612753,24,56
0021500444,1610612748,20,44
0021500445,1610612740,33,63
0021500445,1610612745,41,62
0021500446,1610612765,24,46
0021500446,1610612738,25,51
0021500447,1610612751,26,50
0021500447,1610612764,34,52
0021500448,1610612750,21,44
0021500448,1610612754,21,43
0021500449,1610612742,33,59
0021500449,1610612741,26,60
0021500450,1610612759,22,56
0021500450,1610612743,20,42
0021500451,1610612756,15,45
0021500451,1610612755,29,51
0021500452,1610612762,26,53
0021500452,1610612746,18,48
0021500453,1610612757,34,63
0021500453,1610612739,12,34
0021500454,1610612738,22,51
0021500454,1610612752,18,41
0021500455,1610612763,32,59
0021500455,1610612747,23,46
0021500456,1610612760,32,53
0021500456,1610612743,31,61
0021500457,1610612758,30,51
0021500457,1610612757,29,49
0021500458,1610612766,31,58
0021500458,1610612747,26,58
0021500459,1610612754,21,52
0021500459,1610612737,27,40
0021500460,1610612753,25,50
0021500460,1610612740,23,46
0021500461,1610612764,20,46
0021500461,1610612746,34,59
0021500462,1610612748,26,58
0021500462,1610612751,24,44
0021500463,1610612741,23,49
0021500463,1610612761,32,52
0021500464,1610612742,34,60
0021500464,1610612749,24,51
0021500465,1610612759,26,50
0021500465,1610612750,27,52
0021500466,1610612756,30,54
0021500466,1610612739,34,60
0021500467,1610612762,37,58
0021500467,1610612755,23,45
0021500468,1610612744,27,58
0021500468,1610612758,29,61
0021500469,1610612752,25,50
0021500469,1610612765,26,49
0021500470,1610612745,41,71
0021500470,1610612737,25,56
0021500471,1610612763,26,47
0021500471,1610612748,30,47
0021500472,1610612760,30,65
0021500472,1610612749,31,54
0021500473,1610612743,21,42
0021500473,1610612739,26,53
0021500474,1610612766,25,56
0021500474,1610612746,32,65
0021500475,1610612753,26,45
0021500475,1610612751,26,52
0021500476,1610612738,27,56
0021500476,1610612747,24,58
0021500477,1610612761,28,52
0021500477,1610612764,27,41
0021500478,1610612741,21,50
0021500478,1610612754,21,40
0021500479,1610612750,19,38
0021500479,1610612762,13,31
0021500480,1610612742,27,60
0021500480,1610612744,21,42
0021500481,1610612759,32,61
0021500481,1610612756,12,33
0021500482,1610612757,26,58
0021500482,1610612743,27,51
0021500483,1610612758,31,57
0021500483,1610612755,30,57
0021500484,1610612754,24,52
0021500484,1610612749,33,59
0021500485,1610612745,30,59
0021500485,1610612744,33,61
0021500486,1610612765,15,45
0021500486,1610612750,22,37
0021500487,1610612740,25,48
0021500487,1610612746,20,50
0021500488,1610612760,28,54
0021500488,1610612756,26,53
0021500489,1610612762,25,57
0021500489,1610612757,25,39
0021500490,1610612764,24,48
0021500490,1610612753,21,43
0021500491,1610612748,22,58
0021500491,1610612742,10,45
0021500492,1610612761,29,55
0021500492,1610612766,28,55
0021500493,1610612741,34,56
0021500493,1610612752,18,50
0021500494,1610612747,21,40
0021500494,1610612755,21,41
0021500495,1610612738,29,55
0021500495,1610612751,31,56
